Prefecture	Japanese	Area
Aichi	愛知県	5,153.81
Akita	秋田県	11,612.11
Aomori	青森県	9,606.26
Chiba	千葉県	5,156.15
Ehime	愛媛県	5,676.44
Fukui	福井県	4,188.76
Fukuoka	福岡県	4,971.01
Fukushima	福島県	13,782.54
Gifu	岐阜県	10,598.18
Gunma	群馬県	6,363.16
Hiroshima	広島県	8,476.95
Hokkaidō	北海道	83,452.47
Hyōgo	兵庫県	8,392.42
Ibaraki	茨城県	6,095.62
Ishikawa	石川県	4,185.32
Iwate	岩手県	15,278.51
Kagawa	香川県	1,861.70
Kagoshima	鹿児島県	9,132.42
Kanagawa	神奈川県	2,415.42
Kōchi	高知県	7,104.70
Kumamoto	熊本県	6,908.45
Kyoto	京都府	4,612.93
Mie	三重県	5760.72
Miyagi	宮城県	7,285.16
Miyazaki	宮崎県	6,684.67
Nagano	長野県	12,598.48
Nagasaki	長崎県	4,092.80
Nara	奈良県	3,691.09
Niigata	新潟県	12,582.37
Ōita	大分県	5,804.24
Okayama	岡山県	7,008.63
Okinawa	沖縄県	2,271.30
Osaka	大阪府	1,893.18
Saga	佐賀県	2,439.23
Saitama	埼玉県	3,767.09
Shiga	滋賀県	4,017.36
Shimane	島根県	6,707.32
Shizuoka	静岡県	7,328.61
Tochigi	栃木県	6,408.28
Tokushima	徳島県	4,145.26
Tokyo	東京都	2,187.08
Tottori	鳥取県	3,507.19
Toyama	富山県	4,247.22
Wakayama	和歌山県	4,725.55
Yamagata	山形県	9,323.34
Yamaguchi	山口県	6,110.76
Yamanashi	山梨県	4,465.37
Japan	全国	377,915
