"時点","地域コード","地域","延べ宿泊者数（総数）【人泊】","注記"
"2007年1月","00000","全国","22136270",""
"2007年2月","00000","全国","23346870",""
"2007年3月","00000","全国","26997200",""
"2007年4月","00000","全国","23729790",""
"2007年5月","00000","全国","25636730",""
"2007年6月","00000","全国","23664790",""
"2007年7月","00000","全国","25362320",""
"2007年8月","00000","全国","33935790",""
"2007年9月","00000","全国","25650700",""
"2007年10月","00000","全国","27430380",""
"2007年11月","00000","全国","27087720",""
"2007年12月","00000","全国","24403230",""
"2008年1月","00000","全国","22306990",""
"2008年2月","00000","全国","23734590",""
"2008年3月","00000","全国","27229850",""
"2008年4月","00000","全国","23642670",""
"2008年5月","00000","全国","26128970",""
"2008年6月","00000","全国","23402130",""
"2008年7月","00000","全国","26565860",""
"2008年8月","00000","全国","33652720",""
"2008年9月","00000","全国","24941780",""
"2008年10月","00000","全国","27605970",""
"2008年11月","00000","全国","26884920",""
"2008年12月","00000","全国","23602270",""
"2009年1月","00000","全国","22163460",""
"2009年2月","00000","全国","21876640",""
"2009年3月","00000","全国","26696910",""
"2009年4月","00000","全国","22411430",""
"2009年5月","00000","全国","24986700",""
"2009年6月","00000","全国","21796450",""
"2009年7月","00000","全国","25881320",""
"2009年8月","00000","全国","33518780",""
"2009年9月","00000","全国","26494950",""
"2009年10月","00000","全国","26802430",""
"2009年11月","00000","全国","25358690",""
"2009年12月","00000","全国","23316180",""
"2010年1月","00000","全国","25616100",""
"2010年2月","00000","全国","26942150",""
"2010年3月","00000","全国","32011530",""
"2010年4月","00000","全国","26103230",""
"2010年5月","00000","全国","29393060",""
"2010年6月","00000","全国","25875740",""
"2010年7月","00000","全国","29657850",""
"2010年8月","00000","全国","38035730",""
"2010年9月","00000","全国","28428580",""
"2010年10月","00000","全国","30969410",""
"2010年11月","00000","全国","28919630",""
"2010年12月","00000","全国","26870300",""
"2011年1月","00000","全国","30908870",""
"2011年2月","00000","全国","32153660",""
"2011年3月","00000","全国","29307160",""
"2011年4月","00000","全国","26495230",""
"2011年5月","00000","全国","33494550",""
"2011年6月","00000","全国","30921510",""
"2011年7月","00000","全国","38040000",""
"2011年8月","00000","全国","51463750",""
"2011年9月","00000","全国","36746100",""
"2011年10月","00000","全国","38096640",""
"2011年11月","00000","全国","35536100",""
"2011年12月","00000","全国","34070880",""
"2012年1月","00000","全国","30684990",""
"2012年2月","00000","全国","31042820",""
"2012年3月","00000","全国","37045370",""
"2012年4月","00000","全国","33632400",""
"2012年5月","00000","全国","36547550",""
"2012年6月","00000","全国","32991930",""
"2012年7月","00000","全国","38195680",""
"2012年8月","00000","全国","52315150",""
"2012年9月","00000","全国","36469720",""
"2012年10月","00000","全国","38373530",""
"2012年11月","00000","全国","37344940",""
"2012年12月","00000","全国","34851030",""
"2013年1月","00000","全国","31765400",""
"2013年2月","00000","全国","33058660",""
"2013年3月","00000","全国","39269910",""
"2013年4月","00000","全国","35273920",""
"2013年5月","00000","全国","38404260",""
"2013年6月","00000","全国","34745730",""
"2013年7月","00000","全国","41345880",""
"2013年8月","00000","全国","55130150",""
"2013年9月","00000","全国","39495220",""
"2013年10月","00000","全国","40247870",""
"2013年11月","00000","全国","40074090",""
"2013年12月","00000","全国","37082290",""
"2014年1月","00000","全国","33447100",""
"2014年2月","00000","全国","32747070",""
"2014年3月","00000","全国","40897640",""
"2014年4月","00000","全国","35705590",""
"2014年5月","00000","全国","39901790",""
"2014年6月","00000","全国","35142960",""
"2014年7月","00000","全国","41773170",""
"2014年8月","00000","全国","54229010",""
"2014年9月","00000","全国","39663260",""
"2014年10月","00000","全国","41271550",""
"2014年11月","00000","全国","40678140",""
