"延べ宿泊者数（外国人）【人泊】"
"時点","全国","北海道","青森県","岩手県","宮城県","秋田県","山形県","福島県","茨城県","栃木県","群馬県","埼玉県","千葉県","東京都","神奈川県","新潟県","富山県","石川県","福井県","山梨県","長野県","岐阜県","静岡県","愛知県","三重県","滋賀県","京都府","大阪府","兵庫県","奈良県","和歌山県","鳥取県","島根県","岡山県","広島県","山口県","徳島県","香川県","愛媛県","高知県","福岡県","佐賀県","長崎県","熊本県","大分県","宮崎県","鹿児島県","沖縄県"
"2007年1月","1451290","138510","2450","5480","6010","3200","2440","9230","5760","8750","5310","5860","127610","491910","39480","9260","1980","4220","1000","21500","17890","6410","18160","63320","5560","6490","45880","144420","26340","1820","3830","660","670","3550","12320","1950","790","2600","3760","2200","47510","4910","34960","33870","28460","11160","13920","17890"
"2007年2月","1749830","236890","2560","6470","7860","2750","3360","11540","4910","9710","4730","7250","153080","543100","48320","11790","2520","8330","980","34540","22100","13160","26560","75370","6970","10270","48230","176250","35050","2730","6610","1700","710","3800","12950","1960","1110","2990","3690","1580","45840","4090","37950","36200","24720","10690","13340","22530"
"2007年3月","1783830","113760","4720","4020","6990","2700","2360","8700","7670","11170","4310","6400","141910","662930","55660","8430","4270","6050","1090","30010","12530","10020","27690","88320","7890","12080","79990","188510","35810","3460","7010","1260","800","4850","19720","2780","1820","5740","4990","1180","49320","3880","31490","35900","24530","9070","9940","20100"
"2007年4月","2106150","91970","3320","6840","12950","2510","3480","11500","6190","17170","4320","7140","155350","747800","65740","9720","11650","19300","2980","33590","26500","23540","44210","99500","10190","19800","109840","246700","40150","5710","8760","1360","1260","8410","29620","2190","1940","4710","6350","1360","49480","3580","39080","36340","29230","11500","8730","22600"
"2007年5月","1834840","125960","3940","6500","10890","3540","2360","11880","4510","12000","4860","7040","144190","619160","59490","7770","16930","26210","3970","23900","32660","20740","35460","88790","9950","13110","85150","208630","32780","3510","7470","1040","1070","5670","19810","2290","960","2330","4980","1110","37240","3800","39750","28370","25410","2900","5940","18820"
"2007年6月","1759410","141170","4570","4410","10210","3530","1840","8510","5260","10940","4060","6660","156230","633350","54900","5300","10850","15520","3510","24390","22790","12100","35140","79620","6590","13530","76250","183910","26710","4830","7230","1230","930","4830","18570","1960","960","1790","4820","680","37270","3660","30030","25750","23140","3240","5170","21480"
"2007年7月","2064850","218140","5190","6920","12390","3430","2480","9990","6260","8720","4380","7420","155030","713000","67070","7480","7890","10940","2960","40430","23100","13620","40990","90930","6800","9930","94360","220580","34020","5020","9300","920","1040","6320","19460","3460","3600","2190","4320","860","48230","3310","40700","31800","24440","6890","7900","20640"
"2007年8月","1988300","188590","5050","7570","14110","2780","2290","10710","5550","7700","4560","5830","133530","652730","64090","7400","8860","11090","2230","34130","22480","14100","38420","83780","5390","7700","95640","256840","38400","6310","9330","1130","1060","7240","20790","3370","2460","2990","4590","1490","47710","2140","41150","34800","33340","7340","7580","21920"
"2007年9月","1758420","129960","6430","6020","11840","3350","2670","8710","8490","10510","5270","6670","108590","639010","54300","6220","10030","13190","1480","26170","22650","11740","33810","82540","5650","8820","82650","210040","38040","3640","10040","650","780","5930","17640","2700","900","2470","3590","1130","39890","3760","33090","28240","20960","3790","5350","19050"
"2007年10月","2262380","158390","9470","19350","23350","6640","4470","12810","7660","17400","6330","7650","137240","798990","71680","10570","13900","21690","2690","38880","28090","21070","47210","99180","7980","15880","112230","243530","45490","5830","8900","1900","1330","7310","24660","3770","1090","3810","4410","1160","57650","5770","42080","39110","29880","7260","8370","18320"
"2007年11月","2045230","111530","7890","16160","19410","5740","4250","13740","8160","18320","5860","10000","121220","720010","73850","7550","7850","14430","2700","29720","20890","13230","66680","96430","11110","13040","72630","223610","44530","4680","11860","2360","1290","8250","23300","3840","1670","5080","4940","2960","59000","5890","43370","39300","31280","8130","10710","16740"
"2007年12月","1849810","212700","2480","7660","16170","1590","3030","11160","5300","11080","3520","7070","129540","638570","51450","8010","2970","7430","1000","30600","14310","7590","34810","79680","6240","8670","63060","201320","30850","3570","10580","1080","530","4360","15810","3040","2440","3210","4070","1490","60530","4170","37420","37620","31010","8140","8760","14090"
"2008年1月","1701460","199730","4030","6440","10350","2360","3370","10390","3760","9130","3890","5920","115770","559760","46900","12920","2000","4750","930","22370","20470","8430","27120","66490","4390","6310","47690","190410","31600","4010","6100","1170","570","3970","13430","2210","1760","4520","2990","2300","47710","6610","44620","41560","41620","10420","18930","19270"
"2008年2月","1849800","276490","3880","8400","12610","2300","5320","12820","5220","10970","4510","6310","125860","564250","52760","13400","2880","6710","1020","25850","23840","12440","36190","70290","7340","7370","45970","197180","34950","4100","11640","970","990","4700","12280","1920","1210","3610","4440","1290","47870","4930","44180","37850","34770","12770","19110","24070"
"2008年3月","1847650","134060","3390","4350","12510","1450","3110","8310","6720","9990","5030","7250","120480","669310","62780","8130","2620","7090","930","30050","16930","12140","40900","79300","7460","12050","85710","201080","36340","4680","11390","1210","1110","5270","20810","2630","1570","3740","4520","1420","47670","4130","35780","38590","34830","10370","10570","17920"
"2008年4月","2224780","93220","5230","7820","13070","4000","2930","13670","5710","12970","4920","7600","158930","724550","65190","8700","12850","27030","2650","52150","26610","35530","55790","108110","10580","19840","116430","279470","54290","6870","11320","2740","2070","10180","34100","2890","2230","5220","4630","1490","51920","3440","43030","45720","32050","7710","9040","18330"
"2008年5月","1978240","160260","6930","6090","13520","4170","3150","12180","5090","9130","4610","6620","142060","616970","57740","8880","17310","25870","2580","36740","33690","27600","39350","96830","9230","13180","94560","229720","40280","4930","8530","1130","1010","7530","22400","2390","1960","3220","4200","710","47950","3450","40320","38810","28990","4510","7420","24420"
"2008年6月","1811300","165890","7300","5560","11640","4310","2730","10970","5310","10310","3910","6180","147640","594740","50020","8290","8040","13800","2500","33100","15370","13500","38030","83000","8950","11090","75280","208220","34350","3300","8520","1230","1030","6580","18360","3570","1550","2640","4200","690","44970","2850","30750","33460","25690","6530","7590","27730"
"2008年7月","2180330","282680","6600","5410","13030","3330","2820","11220","7920","10130","5340","7410","177800","692760","58650","9410","9690","13630","2260","40210","20000","14400","44140","91290","9950","9840","95990","245490","43830","5000","8740","1220","850","6980","22210","3190","1300","2200","3520","960","45270","4110","40470","24440","20820","7100","6370","40360"
"2008年8月","1918440","236290","5560","5240","10220","2530","3210","9690","6090","7480","4400","5330","147050","591340","48630","7280","10420","13410","2190","31490","18620","13820","35530","80220","5410","6930","89480","239840","37620","5540","9030","1090","640","5590","24410","2300","1000","1930","3500","1610","50880","3590","34980","26090","23030","5770","8040","34120"
"2008年9月","1643680","152190","6110","4740","10710","3060","2440","8830","8520","8660","4390","7770","119820","557880","56960","6350","8260","12920","1700","25840","15470","10670","32480","73330","6170","8110","86890","181220","35860","4000","7070","790","800","5700","19510","2090","1380","2930","2720","1330","34040","2460","23220","21060","17530","4200","4720","30790"
"2008年10月","2111830","183880","12680","21430","24260","8620","5860","13150","6270","15520","5790","6800","113420","719360","61580","10240","13960","23170","2520","28490","26440","24200","44460","94240","8620","13890","103150","236540","43380","4580","12550","1100","2270","9040","24310","2580","1560","3580","3710","2030","44890","3960","27900","27050","24970","5620","10000","28190"
"2008年11月","1587360","105740","7320","9680","12990","4220","3730","6290","6400","10520","5920","6580","99960","572840","45770","7260","7150","12930","1820","20270","13130","13350","31930","80670","8290","12030","61420","194870","39280","3220","11230","1660","1220","7260","17250","1930","1820","4390","2950","2760","35020","2770","17730","20450","18270","4110","8390","22560"
"2008年12月","1393440","207730","2810","3350","6020","1640","2410","5090","4300","5190","3520","4310","101020","485510","36060","9210","1660","7250","690","20150","12390","6620","22890","59610","4500","7500","48510","161450","24290","1750","7500","600","530","3810","13950","880","1190","1300","2010","1670","29240","2250","12800","13950","13850","3660","7280","19540"
"2009年1月","1514060","233510","4020","4270","7010","2440","8760","4370","2740","6050","4190","5120","166650","444170","52150","14610","1910","8660","2120","35610","22450","9250","26760","52540","6440","5340","45910","164140","26580","2310","6780","1040","450","2940","8320","1910","770","1420","2360","2640","29130","2110","21400","17360","15580","4370","7420","17980"
"2009年2月","1183860","166720","3590","2370","7010","2440","6830","4880","3140","4580","3240","5550","112280","373630","46340","11760","1550","6010","840","20310","16620","6100","18030","44410","4700","4560","36270","125420","23030","1950","7750","990","480","2520","7400","1150","910","1080","2160","1870","23890","1340","13310","16360","14400","3850","4690","15540"
"2009年3月","1487000","92960","3090","2210","6610","2870","2350","7460","8000","5590","3250","7470","145550","520190","68710","7210","1790","5970","790","37590","12620","8760","33730","59810","7340","9920","73000","177730","27190","3340","10500","1030","730","4550","13760","1930","1030","1790","3220","1120","27460","2000","18250","16690","15690","3320","6560","14270"
"2009年4月","1825820","93370","4200","6320","8990","2970","2230","5170","5120","10110","3030","5480","145610","624570","66930","5030","8770","20120","2460","52200","18200","28510","38240","80350","8750","13870","112010","244510","39290","4430","10820","1300","1110","7180","22740","3090","1200","4070","4200","1060","25670","1810","18990","16330","15350","2860","5400","21820"
