time	accomodations	location	Area
2007-01-01	22136270	Japan	377915.0
2007-02-01	23346870	Japan	377915.0
2007-03-01	26997200	Japan	377915.0
2007-04-01	23729790	Japan	377915.0
2007-05-01	25636730	Japan	377915.0
2007-06-01	23664790	Japan	377915.0
2007-07-01	25362320	Japan	377915.0
2007-08-01	33935790	Japan	377915.0
2007-09-01	25650700	Japan	377915.0
2007-10-01	27430380	Japan	377915.0
2007-11-01	27087720	Japan	377915.0
2007-12-01	24403230	Japan	377915.0
2008-01-01	22306990	Japan	377915.0
2008-02-01	23734590	Japan	377915.0
2008-03-01	27229850	Japan	377915.0
2008-04-01	23642670	Japan	377915.0
2008-05-01	26128970	Japan	377915.0
2008-06-01	23402130	Japan	377915.0
2008-07-01	26565860	Japan	377915.0
2008-08-01	33652720	Japan	377915.0
2008-09-01	24941780	Japan	377915.0
2008-10-01	27605970	Japan	377915.0
2008-11-01	26884920	Japan	377915.0
2008-12-01	23602270	Japan	377915.0
2009-01-01	22163460	Japan	377915.0
2009-02-01	21876640	Japan	377915.0
2009-03-01	26696910	Japan	377915.0
2009-04-01	22411430	Japan	377915.0
2009-05-01	24986700	Japan	377915.0
2009-06-01	21796450	Japan	377915.0
2009-07-01	25881320	Japan	377915.0
2009-08-01	33518780	Japan	377915.0
2009-09-01	26494950	Japan	377915.0
2009-10-01	26802430	Japan	377915.0
2009-11-01	25358690	Japan	377915.0
2009-12-01	23316180	Japan	377915.0
2010-01-01	25616100	Japan	377915.0
2010-02-01	26942150	Japan	377915.0
2010-03-01	32011530	Japan	377915.0
2010-04-01	26103230	Japan	377915.0
2010-05-01	29393060	Japan	377915.0
2010-06-01	25875740	Japan	377915.0
2010-07-01	29657850	Japan	377915.0
2010-08-01	38035730	Japan	377915.0
2010-09-01	28428580	Japan	377915.0
2010-10-01	30969410	Japan	377915.0
2010-11-01	28919630	Japan	377915.0
2010-12-01	26870300	Japan	377915.0
2011-01-01	30908870	Japan	377915.0
2011-02-01	32153660	Japan	377915.0
2011-03-01	29307160	Japan	377915.0
2011-04-01	26495230	Japan	377915.0
2011-05-01	33494550	Japan	377915.0
2011-06-01	30921510	Japan	377915.0
2011-07-01	38040000	Japan	377915.0
2011-08-01	51463750	Japan	377915.0
2011-09-01	36746100	Japan	377915.0
2011-10-01	38096640	Japan	377915.0
2011-11-01	35536100	Japan	377915.0
2011-12-01	34070880	Japan	377915.0
2012-01-01	30684990	Japan	377915.0
2012-02-01	31042820	Japan	377915.0
2012-03-01	37045370	Japan	377915.0
2012-04-01	33632400	Japan	377915.0
2012-05-01	36547550	Japan	377915.0
2012-06-01	32991930	Japan	377915.0
2012-07-01	38195680	Japan	377915.0
2012-08-01	52315150	Japan	377915.0
2012-09-01	36469720	Japan	377915.0
2012-10-01	38373530	Japan	377915.0
