time	location	total	foreigners
2007-01-01	Japan	22136270	1451290
2007-02-01	Japan	23346870	1749830
2007-03-01	Japan	26997200	1783830
2007-04-01	Japan	23729790	2106150
2007-05-01	Japan	25636730	1834840
2007-06-01	Japan	23664790	1759410
2007-07-01	Japan	25362320	2064850
2007-08-01	Japan	33935790	1988300
2007-09-01	Japan	25650700	1758420
2007-10-01	Japan	27430380	2262380
2007-11-01	Japan	27087720	2045230
2007-12-01	Japan	24403230	1849810
2008-01-01	Japan	22306990	1701460
2008-02-01	Japan	23734590	1849800
2008-03-01	Japan	27229850	1847650
2008-04-01	Japan	23642670	2224780
2008-05-01	Japan	26128970	1978240
2008-06-01	Japan	23402130	1811300
2008-07-01	Japan	26565860	2180330
2008-08-01	Japan	33652720	1918440
2008-09-01	Japan	24941780	1643680
2008-10-01	Japan	27605970	2111830
2008-11-01	Japan	26884920	1587360
2008-12-01	Japan	23602270	1393440
2009-01-01	Japan	22163460	1514060
2009-02-01	Japan	21876640	1183860
2009-03-01	Japan	26696910	1487000
2009-04-01	Japan	22411430	1825820
2009-05-01	Japan	24986700	1322550
2009-06-01	Japan	21796450	1078860
2009-07-01	Japan	25881320	1639350
2009-08-01	Japan	33518780	1768860
2009-09-01	Japan	26494950	1390010
2009-10-01	Japan	26802430	1820430
2009-11-01	Japan	25358690	1604720
2009-12-01	Japan	23316180	1662250
2010-01-01	Japan	25616100	1765270
2010-02-01	Japan	26942150	2142840
2010-03-01	Japan	32011530	2090840
2010-04-01	Japan	26103230	2605920
2010-05-01	Japan	29393060	2140090
2010-06-01	Japan	25875740	1983050
2010-07-01	Japan	29657850	2608640
2010-08-01	Japan	38035730	2357410
2010-09-01	Japan	28428580	2015210
2010-10-01	Japan	30969410	2301750
2010-11-01	Japan	28919630	2030540
2010-12-01	Japan	26870300	1981440
2011-01-01	Japan	30908870	2055690
2011-02-01	Japan	32153660	2222020
2011-03-01	Japan	29307160	1126930
2011-04-01	Japan	26495230	525010
2011-05-01	Japan	33494550	833180
2011-06-01	Japan	30921510	1173480
2011-07-01	Japan	38040000	1678360
2011-08-01	Japan	51463750	1627960
2011-09-01	Japan	36746100	1561440
2011-10-01	Japan	38096640	1974080
