variable	year	city	value
Distribution of households	2020	Sapporo-shi	170
Num. of tabulated households	2020	Sapporo-shi	106
Num. of persons per household (persons)	2020	Sapporo-shi	2.05
Num. of earners per household (persons)	2020	Sapporo-shi	0.95
Age of household heads (years old)	2020	Sapporo-shi	57.3
Rate of owned dwellings (%)	2020	Sapporo-shi	63.8
Rate of rented dwellings & land (%)	2020	Sapporo-shi	34.1
Consumption expenditures	2020	Sapporo-shi	239078
Food	2020	Sapporo-shi	61071
Cereals	2020	Sapporo-shi	5127
Rice	2020	Sapporo-shi	1735
Bread	2020	Sapporo-shi	1780
Noodles	2020	Sapporo-shi	1225
Other cereals	2020	Sapporo-shi	387
Fish & shellfish	2020	Sapporo-shi	5232
Raw fish & shellfish	2020	Sapporo-shi	2965
Salted & dried fish	2020	Sapporo-shi	956
Fish-paste products	2020	Sapporo-shi	445
Other processed fish	2020	Sapporo-shi	867
Meat	2020	Sapporo-shi	5632
Raw meat	2020	Sapporo-shi	4399
Processed meat	2020	Sapporo-shi	1233
Dairy products & eggs	2020	Sapporo-shi	2855
Fresh milk	2020	Sapporo-shi	839
Dairy products	2020	Sapporo-shi	1486
Eggs	2020	Sapporo-shi	529
Vegetables & seaweeds	2020	Sapporo-shi	6914
Fresh vegetables	2020	Sapporo-shi	4764
Dried vegetables & seaweeds	2020	Sapporo-shi	507
Soybean products	2020	Sapporo-shi	780
Other processed vegetables & seaweeds	2020	Sapporo-shi	864
Fruits	2020	Sapporo-shi	2621
Fresh fruits	2020	Sapporo-shi	2366
Processed fruits	2020	Sapporo-shi	255
Oils, fats & seasonings	2020	Sapporo-shi	2647
Oils & fats	2020	Sapporo-shi	270
Seasonings	2020	Sapporo-shi	2377
Cakes & candies	2020	Sapporo-shi	4989
Cooked food	2020	Sapporo-shi	7522
Cooked food with rice, bread or noodles	2020	Sapporo-shi	3339
Other cooked food	2020	Sapporo-shi	4183
Beverages	2020	Sapporo-shi	4216
Tea	2020	Sapporo-shi	975
Coffee & cocoa	2020	Sapporo-shi	921
Other beverages	2020	Sapporo-shi	2321
Alcoholic beverages	2020	Sapporo-shi	3760
Meals outside the home	2020	Sapporo-shi	8876
Eating out	2020	Sapporo-shi	8380
School lunch	2020	Sapporo-shi	495
Charges for board	2020	Sapporo-shi	680
Housing	2020	Sapporo-shi	25638
Rents for dwelling & land	2020	Sapporo-shi	12445
Repairs & maintenance	2020	Sapporo-shi	13193
Tools & materials for repairs & maintenance	2020	Sapporo-shi	2161
Service charges for repairs & maintenance	2020	Sapporo-shi	11032
Fuel, light & water charges	2020	Sapporo-shi	22010
Electricity	2020	Sapporo-shi	9732
Gas	2020	Sapporo-shi	3841
Other fuel & light	2020	Sapporo-shi	4983
Water & sewerage charges	2020	Sapporo-shi	3454
Furniture & household utensils	2020	Sapporo-shi	8983
Household durable goods	2020	Sapporo-shi	2931
Durable goods assisting housework	2020	Sapporo-shi	1789
Heating & cooling appliances	2020	Sapporo-shi	754
General furniture	2020	Sapporo-shi	388
Interior furnishings & decorations	2020	Sapporo-shi	293
Bedding	2020	Sapporo-shi	966
Domestic utensils	2020	Sapporo-shi	1532
Domestic non-durable goods	2020	Sapporo-shi	2527
Domestic services	2020	Sapporo-shi	734
Clothing & footwear	2020	Sapporo-shi	7419
Japanese clothing	2020	Sapporo-shi	61
Clothing	2020	Sapporo-shi	2760
Shirts & sweaters	2020	Sapporo-shi	1524
Underwear	2020	Sapporo-shi	803
Cloth & thread	2020	Sapporo-shi	81
Other clothing	2020	Sapporo-shi	561
Footwear	2020	Sapporo-shi	1216
Services related to clothing	2020	Sapporo-shi	414
Medical care	2020	Sapporo-shi	12127
Medicines	2020	Sapporo-shi	1806
Health fortification	2020	Sapporo-shi	2544
Medical supplies & appliances	2020	Sapporo-shi	2433
Medical services	2020	Sapporo-shi	5343
Transportation & communication	2020	Sapporo-shi	32619
Public transportation	2020	Sapporo-shi	2242
Private transportation	2020	Sapporo-shi	18036
Purchase of vehicles	2020	Sapporo-shi	2853
Purchase of bicycles	2020	Sapporo-shi	120
Maintenance of vehicles	2020	Sapporo-shi	15062
Communication	2020	Sapporo-shi	12341
Education	2020	Sapporo-shi	5341
Culture & recreation	2020	Sapporo-shi	21908
Recreational durable goods	2020	Sapporo-shi	1786
Recreational goods	2020	Sapporo-shi	5746
Books & other reading materials	2020	Sapporo-shi	3670
Recreational services	2020	Sapporo-shi	10705
Accommodation services	2020	Sapporo-shi	1056
Package tours	2020	Sapporo-shi	601
Lesson fees	2020	Sapporo-shi	1833
Other recreational services	2020	Sapporo-shi	7215
Other consumption expenditures	2020	Sapporo-shi	41960
Miscellaneous	2020	Sapporo-shi	19504
Personal care services	2020	Sapporo-shi	2713
Personal care goods	2020	Sapporo-shi	3784
Personal effects	2020	Sapporo-shi	974
Tobacco	2020	Sapporo-shi	2008
Other miscellaneous	2020	Sapporo-shi	10026
Pocket money (of which, detailed uses unknown)	2020	Sapporo-shi	7028
Social expenses	2020	Sapporo-shi	12989
Other goods & services	2020	Sapporo-shi	426
Money gifts	2020	Sapporo-shi	4833
Other social expenses	2020	Sapporo-shi	3329
Remittance	2020	Sapporo-shi	2438
(Regrouped) Expenses for education	2020	Sapporo-shi	8344
(Regrouped) Expenses for culture & recreation	2020	Sapporo-shi	23745
(Regrouped) Intel exchange	2020	Sapporo-shi	15702
(Regrouped) Expense (except housing)	2020	Sapporo-shi	203315
(Regrouped) Sum of Goods & Services 1)	2020	Sapporo-shi	221449
Goods (commodities)	2020	Sapporo-shi	128166
Durable goods	2020	Sapporo-shi	11166
Semi-durable goods	2020	Sapporo-shi	18630
Non-durable goods	2020	Sapporo-shi	98371
Services	2020	Sapporo-shi	93283
