time; Total ; Tourist ; Business ;Others
2006_Jan_;68,854;27,820;11,402;29,632
Feb_;55,842;16,021;13,075;26,746
Mar_;70,491;21,319;16,232;32,940
Apr_;73,932;31,362;16,081;26,489
May_;64,298;24,829;16,949;22,520
Jun_;51,243;21,527;14,452;15,264
Jul_;81,476;44,444;17,039;19,993
Aug_;81,117;37,170;13,448;30,499
Sep_;75,161;25,644;17,092;32,425
Oct_;76,381;29,378;20,414;26,589
Nov_;62,997;21,885;22,253;18,859
Dec_;49,883;21,619;14,047;14,217
2007_Jan_;63,093;16,228;14,607;32,258
Feb_;75,246;41,402;11,537;22,307
Mar_;84,323;25,183;17,437;41,703
Apr_;79,778;34,810;17,346;27,622
May_;70,212;28,844;16,942;24,426
Jun_;61,800;27,192;16,940;17,668
Jul_;101,370;60,656;19,479;21,235
Aug_;99,355;52,202;15,811;31,342
Sep_;93,068;34,180;23,187;35,701
Oct_;91,186;38,697;23,808;28,681
Nov_;69,597;26,970;22,470;20,157
Dec_;53,411;20,922;16,665;15,824
2008_Jan_;84,038;32,250;16,253;35,535
Feb_;85,134;41,635;13,064;30,435
Mar_;90,850;33,522;18,634;38,694
Apr_;103,013;54,451;18,027;30,535
May_;74,637;28,309;19,892;26,436
Jun_;61,355;25,562;16,471;19,322
Jul_;101,192;63,073;17,060;21,059
Aug_;92,976;49,431;13,685;29,860
Sep_;93,921;38,990;17,956;36,975
Oct_;86,570;35,375;19,715;31,480
Nov_;73,131;29,649;23,088;20,394
Dec_;53,599;23,481;14,914;15,204
2009_Jan_;110,262;60,716;11,861;37,685
Feb_;62,981;20,554;14,407;28,020
Mar_;100,951;47,129;16,048;37,774
Apr_;106,816;57,540;15,362;33,914
May_;60,530;23,575;11,986;24,969
Jun_;36,597;8,518;10,626;17,453
Jul_;67,944;33,813;14,413;19,718
Aug_;109,017;61,223;13,927;33,867
Sep_;98,697;41,733;15,925;41,039
Oct_;108,301;56,161;20,058;32,082
Nov_;81,462;38,731;22,740;19,991
Dec_;62,527;32,003;14,623;15,901
2010_Jan_;92,120;39,775;17,262;35,083
Feb_;121,494;83,684;12,231;25,579
Mar_;123,314;57,532;18,946;46,836
Apr_;150,788;97,148;20,560;33,080
May_;112,558;65,919;20,214;26,425
Jun_;103,706;65,432;18,599;19,675
Jul_;164,944;124,477;20,268;20,199
Aug_;171,503;119,821;18,729;32,953
Sep_;137,333;73,780;21,305;42,248
Oct_;106,237;51,940;22,927;31,370
Nov_;68,385;25,094;22,842;20,449
Dec_;60,493;27,050;16,714;16,729
2011_Jan_;99,131;47,146;16,530;35,455
Feb_;105,362;57,498;16,312;31,552
Mar_;62,450;14,883;10,042;37,525
Apr_;76,164;4,948;6,702;64,514
May_;58,608;6,181;12,203;40,224
Jun_;61,419;26,143;13,973;21,303
Jul_;86,963;46,736;16,910;23,317
Aug_;102,640;54,125;15,849;32,666
Sep_;112,493;50,308;19,851;42,334
Oct_;106,174;52,952;24,128;29,094
Nov_;92,154;47,762;24,298;20,094
Dec_;79,688;44,500;18,439;16,749
2012_Jan_;136,665;85,648;14,071;36,946
Feb_;81,966;34,816;19,621;27,529
Mar_;129,302;64,391;22,617;42,294
Apr_;148,793;93,517;23,671;31,605
May_;112,152;61,868;24,092;26,192
Jun_;125,983;84,275;20,923;20,785
Jul_;204,270;156,502;23,480;24,288
Aug_;190,254;136,544;18,395;35,315
Sep_;121,673;55,426;20,796;45,451
Oct_;69,713;21,041;16,266;32,406
Nov_;51,993;13,867;18,150;19,976
Dec_;52,336;21,311;14,186;16,839
2013_Jan_;72,301;18,832;15,786;37,683
Feb_;80,903;35,438;13,620;31,845
Mar_;102,265;33,034;18,793;50,438
Apr_;100,160;50,135;19,021;31,004
May_;81,571;34,431;20,141;26,999
Jun_;98,996;59,687;19,380;19,929
Jul_;139,905;94,829;21,489;23,587
Aug_;162,288;108,458;18,075;35,755
Sep_;156,201;86,984;21,001;48,216
Oct_;121,335;66,814;22,867;31,654
Nov_;101,940;55,286;25,906;20,748
Dec_;96,572;60,809;18,685;17,078
2014_Jan_;155,605;99,751;17,617;38,237
Feb_;138,236;84,378;18,449;35,409
Mar_;184,064;112,990;22,564;48,510
Apr_;190,558;136,865;22,175;31,518
May_;165,784;114,860;22,410;28,514
Jun_;173,046;129,587;22,108;21,351
Jul_;281,309;232,589;23,983;24,737
Aug_;253,802;195,474;19,744;38,584
Sep_;246,105;172,693;24,240;49,172
Oct_;223,214;165,758;26,361;31,095
Nov_;207,462;157,109;29,018;21,335
Dec_;189,973;151,518;20,665;17,790
2015_Jan_;226,214;161,873;22,423;41,918
Feb_;359,080;313,728;19,668;25,684
Mar_;338,121;246,011;28,153;63,957
Apr_;405,731;342,726;28,436;34,569
May_;387,170;325,335;29,320;32,515
Jun_;462,248;411,287;29,195;21,766
Jul_;576,868;519,783;30,613;26,472
Aug_;591,510;521,018;27,819;42,673
Sep_;491,201;410,299;27,629;53,273
Oct_;445,562;378,527;31,890;35,145
Nov_;362,950;304,281;34,824;23,845
Dec_;347,034;303,052;24,018;19,964
2016_Jan_;475,115;397,107;27,729;50,279
Feb_;498,903;433,934;24,146;40,823
Mar_;498,053;409,977;29,684;58,392
Apr_;514,866;447,781;30,329;36,756
May_;507,095;436,244;31,406;39,445
Jun_;582,452;528,731;29,428;24,293
Jul_;731,386;665,255;35,132;30,999
Aug_;676,966;599,740;27,852;49,374
Sep_;522,302;433,254;30,759;58,289
Oct_;506,162;432,721;33,341;40,100
Nov_;432,802;370,212;36,469;26,121
Dec_;427,462;380,169;25,640;21,653
2017_Jan_;630,570;545,424;25,136;60,010
Feb_;509,090;434,355;28,381;46,354
Mar_;508,979;417,718;29,917;61,344
Apr_;528,781;454,866;30,014;43,901
May_;517,038;443,188;30,673;43,177
Jun_;587,193;528,166;30,159;28,868
Jul_;780,771;709,696;35,890;35,185
Aug_;819,855;736,514;27,406;55,935
Sep_;678,313;582,535;31,802;63,976
Oct_;663,815;585,012;33,775;45,028
Nov_;567,149;499,615;35,904;31,630
Dec_;564,264;510,651;27,860;25,753
2018_Jan_;632,304;534,698;29,676;67,930
Feb_;716,333;654,422;22,618;39,293
Mar_;594,920;493,586;28,795;72,539
Apr_;683,377;604,281;29,893;49,203
May_;668,600;590,436;31,881;46,283
Jun_;760,949;696,490;31,923;32,536
Jul_;879,097;804,282;37,199;37,616
Aug_;860,121;775,430;27,319;57,372
Sep_;652,740;553,407;30,293;69,040
Oct_;715,255;628,657;35,550;51,048
Nov_;617,252;547,650;36,100;33,502
Dec_;599,086;542,834;27,781;28,471
2019_Jan_;754,421;654,818;27,959;71,644
Feb_;723,617;647,740;25,092;50,785
Mar_;691,279;587,480;31,393;72,406
Apr_;726,132;647,544;27,128;51,460
May_;756,365;668,757;32,172;55,436
Jun_;880,651;813,189;32,195;35,267
Jul_;1,050,420;973,293;37,223;39,904
Aug_;1,000,639;909,161;27,069;64,409
Sep_;819,054;705,154;33,159;80,741
Oct_;730,631;645,903;31,428;53,300
Nov_;750,951;676,675;36,519;37,757
Dec_;710,234;645,786;32,067;32,381
2020_Jan_;924,790;804,901;24,645;95,244
Feb_;87,220;55,297;5,333;26,590
Mar_;10,365;4,313;655;5,397
Apr_;163;65;8;90
May_;25;15;3;7
Jun_;334;25;29;280
Jul_;785;28;67;690
Aug_;1,606;74;152;1,380
Sep_;2,954;74;254;2,626
Oct_;4,502;93;385;4,024
Nov_;18,147;135;1,097;16,915
Dec_;18,365;136;1,006;17,223
