time; Total ; Tourist ; Business ;Others
2006_Jan_; 192,590 ; 149,409 ; 28,298 ; 14,883 
Feb_; 174,239 ; 135,715 ; 30,704 ; 7,820 
Mar_; 149,071 ; 100,878 ; 33,799 ; 14,394 
Apr_; 162,657 ; 119,599 ; 32,785 ; 10,273 
May_; 161,080 ; 119,651 ; 31,141 ; 10,288 
Jun_; 153,706 ; 116,433 ; 30,234 ; 7,039 
Jul_; 197,622 ; 160,763 ; 29,371 ; 7,488 
Aug_; 220,332 ; 179,059 ; 26,196 ; 15,077 
Sep_; 156,451 ; 110,201 ; 33,688 ; 12,562 
Oct_; 187,601 ; 143,618 ; 33,531 ; 10,452 
Nov_; 177,298 ; 133,041 ; 36,278 ; 7,979 
Dec_; 184,678 ; 146,444 ; 30,479 ; 7,755 
2007_Jan_; 240,350 ; 193,885 ; 30,021 ; 16,444 
Feb_; 202,365 ; 165,323 ; 28,563 ; 8,479 
Mar_; 188,721 ; 139,021 ; 33,720 ; 15,980 
Apr_; 190,558 ; 147,240 ; 32,587 ; 10,731 
May_; 211,355 ; 167,400 ; 32,858 ; 11,097 
Jun_; 190,330 ; 151,260 ; 31,139 ; 7,931 
Jul_; 254,234 ; 214,003 ; 32,092 ; 8,139 
Aug_; 271,377 ; 230,918 ; 25,409 ; 15,050 
Sep_; 201,286 ; 157,196 ; 29,454 ; 14,636 
Oct_; 222,737 ; 173,738 ; 38,308 ; 10,691 
Nov_; 218,488 ; 174,004 ; 36,549 ; 7,935 
Dec_; 208,893 ; 170,207 ; 30,026 ; 8,660 
2008_Jan_; 271,583 ; 224,509 ; 29,802 ; 17,272 
Feb_; 234,876 ; 197,838 ; 27,694 ; 9,344 
Mar_; 187,474 ; 137,936 ; 32,611 ; 16,927 
Apr_; 203,812 ; 159,049 ; 32,769 ; 11,994 
May_; 229,043 ; 188,332 ; 30,057 ; 10,654 
Jun_; 195,661 ; 154,607 ; 32,194 ; 8,860 
Jul_; 237,947 ; 198,184 ; 31,060 ; 8,703 
Aug_; 248,154 ; 208,792 ; 23,162 ; 16,200 
Sep_; 159,523 ; 116,191 ; 27,495 ; 15,837 
Oct_; 188,804 ; 146,701 ; 32,013 ; 10,090 
Nov_; 117,518 ; 82,533 ; 26,425 ; 8,560 
Dec_; 108,002 ; 77,982 ; 22,200 ; 7,820 
2009_Jan_; 129,756 ; 92,764 ; 19,235 ; 17,757 
Feb_; 106,929 ; 76,177 ; 22,811 ; 7,941 
Mar_; 108,350 ; 66,529 ; 24,682 ; 17,139 
Apr_; 113,313 ; 77,897 ; 24,681 ; 10,735 
May_; 117,897 ; 86,569 ; 20,712 ; 10,616 
Jun_; 104,237 ; 72,020 ; 23,918 ; 8,299 
Jul_; 170,240 ; 135,543 ; 26,134 ; 8,563 
Aug_; 190,987 ; 153,862 ; 20,446 ; 16,679 
Sep_; 105,470 ; 64,273 ; 25,039 ; 16,158 
Oct_; 131,195 ; 91,875 ; 28,994 ; 10,326 
Nov_; 130,371 ; 92,532 ; 29,146 ; 8,693 
Dec_; 178,027 ; 143,894 ; 25,841 ; 8,292 
2010_Jan_; 232,053 ; 189,639 ; 26,102 ; 16,312 
Feb_; 197,784 ; 164,475 ; 24,172 ; 9,137 
Mar_; 169,295 ; 121,088 ; 30,120 ; 18,087 
Apr_; 189,582 ; 148,099 ; 29,991 ; 11,492 
May_; 201,484 ; 164,368 ; 26,345 ; 10,771 
Jun_; 179,088 ; 142,003 ; 28,812 ; 8,273 
Jul_; 236,092 ; 199,611 ; 27,868 ; 8,613 
Aug_; 246,882 ; 207,487 ; 23,492 ; 15,903 
Sep_; 193,975 ; 151,270 ; 26,444 ; 16,261 
Oct_; 193,829 ; 152,099 ; 31,595 ; 10,135 
Nov_; 197,244 ; 156,187 ; 32,264 ; 8,793 
Dec_; 202,508 ; 166,676 ; 27,387 ; 8,445 
2011_Jan_; 268,368 ; 223,214 ; 28,891 ; 16,263 
Feb_; 231,640 ; 196,887 ; 25,381 ; 9,372 
Mar_; 89,121 ; 49,971 ; 21,886 ; 17,264 
Apr_; 63,790 ; 23,147 ; 18,687 ; 21,956 
May_; 84,014 ; 47,854 ; 22,959 ; 13,201 
Jun_; 103,817 ; 69,675 ; 26,324 ; 7,818 
Jul_; 140,053 ; 104,614 ; 27,048 ; 8,391 
Aug_; 147,030 ; 109,842 ; 22,127 ; 15,061 
Sep_; 122,436 ; 81,430 ; 25,245 ; 15,761 
Oct_; 132,259 ; 91,150 ; 31,188 ; 9,921 
