time; Total ; Tourist ; Business ;Others
2006_Jan_;6,716;2,879;2,202;1,635
Feb_;6,876;3,472;2,608;796
Mar_;14,779;10,506;2,862;1,411
Apr_;22,015;18,308;2,362;1,345
May_;10,357;6,477;2,934;946
Jun_;6,741;3,365;2,432;944
Jul_;7,317;3,609;2,632;1,076
Aug_;6,679;3,349;1,937;1,393
Sep_;8,750;4,480;2,717;1,553
Oct_;13,812;9,013;3,423;1,376
Nov_;10,546;6,331;3,303;912
Dec_;11,116;8,541;1,875;700
2007_Jan_;7,248;3,376;2,341;1,531
Feb_;8,175;4,854;2,389;932
Mar_;20,531;15,839;3,137;1,555
Apr_;27,133;22,966;2,699;1,468
May_;13,296;9,184;3,051;1,061
Jun_;8,772;5,071;2,819;882
Jul_;11,681;7,900;2,761;1,020
Aug_;9,589;6,291;2,081;1,217
Sep_;13,415;8,437;3,080;1,898
Oct_;20,552;15,757;3,575;1,220
Nov_;13,281;8,953;3,386;942
Dec_;13,808;11,090;1,908;810
2008_Jan_;8,019;3,971;2,278;1,770
Feb_;10,738;7,480;2,306;952
Mar_;26,797;21,552;3,283;1,962
Apr_;35,476;31,312;2,541;1,623
May_;20,309;16,025;2,998;1,286
Jun_;9,929;5,998;2,804;1,127
Jul_;12,124;8,497;2,601;1,026
Aug_;8,379;4,708;2,116;1,555
Sep_;13,355;8,322;2,936;2,097
Oct_;22,602;17,472;3,626;1,504
Nov_;12,184;8,237;3,056;891
Dec_;11,969;9,967;1,166;836
2009_Jan_;8,724;5,269;1,797;1,658
Feb_;10,563;7,660;1,902;1,001
Mar_;24,025;19,777;2,457;1,791
Apr_;29,049;25,331;1,978;1,740
May_;14,046;11,221;1,720;1,105
Jun_;5,952;3,398;1,616;938
Jul_;9,631;6,619;1,952;1,060
Aug_;8,085;4,821;1,747;1,517
Sep_;11,863;7,518;2,118;2,227
Oct_;24,619;19,984;3,044;1,591
Nov_;14,298;10,175;2,868;1,255
Dec_;16,686;14,130;1,617;939
2010_Jan_;9,881;5,902;2,062;1,917
Feb_;9,944;7,045;1,813;1,086
Mar_;28,340;23,478;2,829;2,033
Apr_;36,817;32,777;2,327;1,713
May_;17,014;13,406;2,450;1,158
Jun_;9,967;6,365;2,581;1,021
