time; Total ; Tourist ; Business ;Others
2006_Jan_; 1,643 ; 372 ; 315 ; 956 
Feb_; 2,080 ; 327 ; 574 ; 1,179 
Mar_; 2,246 ; 468 ; 577 ; 1,201 
Apr_; 2,459 ; 712 ; 662 ; 1,085 
May_; 1,918 ; 532 ; 570 ; 816 
Jun_; 1,811 ; 618 ; 543 ; 650 
Jul_; 2,393 ; 765 ; 765 ; 863 
Aug_; 2,073 ; 590 ; 415 ; 1,068 
Sep_; 2,488 ; 574 ; 634 ; 1,280 
Oct_; 2,747 ; 675 ; 839 ; 1,233 
Nov_; 2,090 ; 417 ; 855 ; 818 
Dec_; 1,689 ; 448 ; 472 ; 769 
2007_Jan_; 2,480 ; 489 ; 673 ; 1,318 
Feb_; 1,847 ; 452 ; 427 ; 968 
Mar_; 3,385 ; 885 ; 748 ; 1,752 
Apr_; 2,467 ; 658 ; 625 ; 1,184 
May_; 2,224 ; 519 ; 730 ; 975 
Jun_; 2,764 ; 943 ; 772 ; 1,049 
Jul_; 2,561 ; 828 ; 775 ; 958 
Aug_; 2,592 ; 738 ; 694 ; 1,160 
Sep_; 3,211 ; 707 ; 961 ; 1,543 
Oct_; 3,189 ; 860 ; 1,087 ; 1,242 
Nov_; 3,074 ; 725 ; 1,071 ; 1,278 
Dec_; 2,115 ; 623 ; 626 ; 866 
2008_Jan_; 2,504 ; 326 ; 599 ; 1,579 
Feb_; 2,614 ; 574 ; 463 ; 1,577 
Mar_; 3,716 ; 1,023 ; 746 ; 1,947 
Apr_; 2,993 ; 860 ; 774 ; 1,359 
May_; 2,625 ; 656 ; 640 ; 1,329 
Jun_; 2,631 ; 854 ; 631 ; 1,146 
Jul_; 3,048 ; 1,117 ; 642 ; 1,289 
Aug_; 2,897 ; 839 ; 539 ; 1,519 
Sep_; 3,545 ; 867 ; 760 ; 1,918 
Oct_; 3,061 ; 715 ; 688 ; 1,658 
Nov_; 2,693 ; 644 ; 773 ; 1,276 
Dec_; 2,467 ; 986 ; 438 ; 1,043 
2009_Jan_; 2,405 ; 592 ; 329 ; 1,484 
Feb_; 2,516 ; 480 ; 533 ; 1,503 
Mar_; 3,611 ; 1,055 ; 623 ; 1,933 
Apr_; 3,059 ; 1,072 ; 663 ; 1,324 
May_; 2,402 ; 618 ; 497 ; 1,287 
Jun_; 2,225 ; 761 ; 414 ; 1,050 
Jul_; 2,511 ; 768 ; 716 ; 1,027 
Aug_; 2,874 ; 853 ; 557 ; 1,464 
Sep_; 3,403 ; 840 ; 665 ; 1,898 
Oct_; 3,397 ; 968 ; 932 ; 1,497 
Nov_; 3,330 ; 1,032 ; 941 ; 1,357 
Dec_; 2,488 ; 1,023 ; 525 ; 940 
2010_Jan_; 2,737 ; 463 ; 532 ; 1,742 
Feb_; 2,652 ; 803 ; 441 ; 1,408 
Mar_; 4,606 ; 1,335 ; 665 ; 2,606 
Apr_; 4,000 ; 1,584 ; 826 ; 1,590 
May_; 3,086 ; 950 ; 792 ; 1,344 
Jun_; 3,485 ; 1,426 ; 733 ; 1,326 
Jul_; 3,283 ; 1,366 ; 868 ; 1,049 
Aug_; 3,421 ; 1,170 ; 645 ; 1,606 
Sep_; 3,761 ; 946 ; 722 ; 2,093 
Oct_; 4,226 ; 1,166 ; 1,024 ; 2,036 
Nov_; 3,772 ; 1,054 ; 1,130 ; 1,588 
Dec_; 2,833 ; 961 ; 653 ; 1,219 
2011_Jan_; 3,151 ; 681 ; 619 ; 1,851 
Feb_; 3,371 ; 846 ; 674 ; 1,851 
Mar_; 3,220 ; 470 ; 454 ; 2,296 
Apr_; 3,787 ; 515 ; 381 ; 2,891 
May_; 2,636 ; 449 ; 536 ; 1,651 
Jun_; 2,706 ; 644 ; 619 ; 1,443 
Jul_; 3,029 ; 725 ; 684 ; 1,620 
Aug_; 3,586 ; 819 ; 718 ; 2,049 
Sep_; 4,156 ; 750 ; 913 ; 2,493 
Oct_; 4,770 ; 1,081 ; 1,344 ; 2,345 
Nov_; 3,810 ; 972 ; 1,170 ; 1,668 
Dec_; 2,826 ; 789 ; 645 ; 1,392 
2012_Jan_; 3,600 ; 770 ; 606 ; 2,224 
Feb_; 3,556 ; 484 ; 827 ; 2,245 
Mar_; 5,016 ; 1,489 ; 850 ; 2,677 
Apr_; 6,512 ; 2,719 ; 1,181 ; 2,612 
May_; 4,159 ; 1,232 ; 997 ; 1,930 
Jun_; 3,529 ; 1,140 ; 770 ; 1,619 
Jul_; 4,580 ; 1,394 ; 1,037 ; 2,149 
Aug_; 4,098 ; 1,214 ; 731 ; 2,153 
Sep_; 5,610 ; 1,193 ; 1,257 ; 3,160 
Oct_; 6,278 ; 1,301 ; 1,170 ; 3,807 
Nov_; 4,717 ; 1,576 ; 1,172 ; 1,969 
Dec_; 3,501 ; 1,011 ; 723 ; 1,767 
2013_Jan_; 4,998 ; 578 ; 844 ; 3,576 
Feb_; 4,352 ; 1,317 ; 720 ; 2,315 
Mar_; 6,781 ; 1,801 ; 1,104 ; 3,876 
Apr_; 12,136 ; 4,311 ; 1,317 ; 6,508 
May_; 5,527 ; 1,863 ; 1,124 ; 2,540 
Jun_; 6,344 ; 2,620 ; 1,336 ; 2,388 
Jul_; 7,316 ; 2,613 ; 1,088 ; 3,615 
Aug_; 6,000 ; 1,814 ; 1,040 ; 3,146 
Sep_; 7,370 ; 1,711 ; 1,291 ; 4,368 
Oct_; 11,292 ; 2,928 ; 1,649 ; 6,715 
Nov_; 7,207 ; 3,036 ; 1,697 ; 2,474 
Dec_; 5,146 ; 1,810 ; 1,055 ; 2,281 
2014_Jan_; 6,707 ; 994 ; 824 ; 4,889 
Feb_; 7,419 ; 2,023 ; 1,152 ; 4,244 
Mar_; 11,145 ; 4,435 ; 1,797 ; 4,913 
Apr_; 17,889 ; 7,286 ; 2,046 ; 8,557 
May_; 7,897 ; 2,778 ; 1,514 ; 3,605 
Jun_; 8,513 ; 3,220 ; 1,541 ; 3,752 
Jul_; 10,973 ; 4,188 ; 1,835 ; 4,950 
Aug_; 9,523 ; 2,808 ; 1,732 ; 4,983 
Sep_; 10,665 ; 2,390 ; 1,772 ; 6,503 
Oct_; 15,222 ; 4,305 ; 2,489 ; 8,428 
Nov_; 10,370 ; 3,985 ; 2,315 ; 4,070 
Dec_; 7,943 ; 2,963 ; 1,223 ; 3,757 
2015_Jan_; 12,266 ; 2,029 ; 1,597 ; 8,640 
Feb_; 9,489 ; 3,340 ; 1,066 ; 5,083 
Mar_; 18,736 ; 6,080 ; 1,932 ; 10,724 
Apr_; 28,510 ; 11,370 ; 2,237 ; 14,903 
May_; 12,319 ; 4,554 ; 1,923 ; 5,842 
Jun_; 13,043 ; 4,966 ; 1,836 ; 6,241 
Jul_; 15,366 ; 5,901 ; 2,116 ; 7,349 
Aug_; 13,770 ; 3,918 ; 1,796 ; 8,056 
Sep_; 15,569 ; 4,109 ; 1,891 ; 9,569 
Oct_; 21,391 ; 6,466 ; 2,709 ; 12,216 
Nov_; 14,592 ; 5,532 ; 2,877 ; 6,183 
Dec_; 10,344 ; 3,795 ; 1,551 ; 4,998 
2016_Jan_; 14,792 ; 2,202 ; 1,692 ; 10,898 
Feb_; 17,599 ; 4,598 ; 1,595 ; 11,406 
Mar_; 23,211 ; 9,130 ; 2,315 ; 11,766 
Apr_; 34,134 ; 13,849 ; 2,702 ; 17,583 
May_; 16,377 ; 5,488 ; 2,339 ; 8,550 
Jun_; 16,736 ; 6,821 ; 2,303 ; 7,612 
Jul_; 18,584 ; 7,173 ; 2,580 ; 8,831 
Aug_; 17,206 ; 4,075 ; 2,136 ; 10,995 
Sep_; 19,252 ; 4,245 ; 2,504 ; 12,503 
Oct_; 24,696 ; 7,647 ; 3,576 ; 13,473 
Nov_; 18,126 ; 7,659 ; 3,286 ; 7,181 
Dec_; 13,050 ; 4,212 ; 1,989 ; 6,849 
2017_Jan_; 21,621 ; 5,251 ; 1,628 ; 14,742 
Feb_; 22,000 ; 3,797 ; 2,128 ; 16,075 
Mar_; 30,594 ; 11,573 ; 2,937 ; 16,084 
Apr_; 38,928 ; 16,005 ; 2,853 ; 20,070 
May_; 22,118 ; 7,677 ; 2,910 ; 11,531 
Jun_; 21,869 ; 8,989 ; 2,982 ; 9,898 
Jul_; 24,696 ; 10,396 ; 3,058 ; 11,242 
Aug_; 24,665 ; 6,700 ; 2,304 ; 15,661 
Sep_; 25,388 ; 7,527 ; 2,915 ; 14,946 
Oct_; 32,461 ; 10,845 ; 3,840 ; 17,776 
Nov_; 24,880 ; 11,264 ; 3,772 ; 9,844 
Dec_; 19,678 ; 7,138 ; 2,072 ; 10,468 
2018_Jan_; 27,703 ; 4,159 ; 2,333 ; 21,211 
Feb_; 23,366 ; 7,291 ; 1,791 ; 14,284 
Mar_; 35,235 ; 12,398 ; 2,776 ; 20,061 
Apr_; 50,299 ; 22,537 ; 3,492 ; 24,270 
May_; 28,172 ; 10,901 ; 3,098 ; 14,173 
Jun_; 29,476 ; 13,134 ; 3,195 ; 13,147 
Jul_; 33,492 ; 14,051 ; 3,589 ; 15,852 
Aug_; 34,229 ; 9,402 ; 2,575 ; 22,252 
Sep_; 29,270 ; 7,053 ; 2,926 ; 19,291 
Oct_; 39,421 ; 11,949 ; 4,407 ; 23,065 
Nov_; 33,986 ; 14,388 ; 4,413 ; 15,185 
Dec_; 24,356 ; 8,700 ; 2,593 ; 13,063 
2019_Jan_; 35,375 ; 5,657 ; 2,114 ; 27,604 
Feb_; 39,377 ; 9,839 ; 2,489 ; 27,049 
Mar_; 47,881 ; 20,138 ; 3,593 ; 24,150 
Apr_; 55,295 ; 25,092 ; 3,407 ; 26,796 
May_; 39,900 ; 13,809 ; 3,228 ; 22,863 
Jun_; 35,419 ; 15,939 ; 3,530 ; 15,950 
Jul_; 40,762 ; 17,324 ; 3,652 ; 19,786 
Aug_; 43,709 ; 11,989 ; 2,894 ; 28,826 
Sep_; 38,325 ; 9,383 ; 3,466 ; 25,476 
Oct_; 46,510 ; 16,131 ; 4,033 ; 26,346 
Nov_; 41,892 ; 18,580 ; 4,443 ; 18,869 
Dec_; 30,606 ; 10,055 ; 2,766 ; 17,785 
2020_Jan_; 50,424 ; 11,452 ; 2,156 ; 36,816 
Feb_; 39,905 ; 4,121 ; 2,279 ; 33,505 
Mar_; 20,842 ; 1,641 ; 602 ; 18,599 
Apr_; 206 ; 4 ; 1 ; 201 
May_; 2 ; 0 ; 0 ; 2 
Jun_; 122 ; 4 ; 2 ; 116 
Jul_; 633 ; 7 ; 5 ; 621 
Aug_; 1,122 ; 6 ; 12 ; 1,104 
Sep_; 2,698 ; 6 ; 18 ; 2,674 
Oct_; 6,162 ; 13 ; 93 ; 6,056 
Nov_; 14,730 ; 28 ; 79 ; 14,623 
Dec_; 15,713 ; 14 ; 48 ; 15,651 
