(UNIT:NO, MT)
Year,Country,Number Of Vessels -Year,Number Of Vessel (Direct Entrance) -Year,Net Tonnages-Year,Net Tonnages (Direct Entrance) -Year,Number Of Vessels -Jan,Number Of Vessel (Direct Entrance) -Jan,Net Tonnages-Jan,Net Tonnages (Direct Entrance) -Jan,Number Of Vessels -Feb,Number Of Vessel (Direct Entrance) -Feb,Net Tonnages-Feb,Net Tonnages (Direct Entrance) -Feb,Number Of Vessels -Mar,Number Of Vessel (Direct Entrance) -Mar,Net Tonnages -Mar,Net Tonnages (Direct Entrance) -Mar,Number Of Vessels -Apl,Number Of Vessel (Direct Entrance) -Apl,Net Tonnages -Apl,Net Tonnages (Direct Entrance) -Apl,Number Of Vessels -May,Number Of Vessel (Direct Entrance) -May,Net Tonnages -May,Net Tonnages (Direct Entrance) -May,Number Of Vessels -Jun,Number Of Vessel (Direct Entrance) -Jun,Net Tonnages -Jun,Net Tonnages (Direct Entrance) -Jun,Number Of Vessels -Jul,Number Of Vessel (Direct Entrance) -Jul,Net Tonnages -Jul,Net Tonnages (Direct Entrance) -Jul,Number Of Vessels -Aug,Number Of Vessel (Direct Entrance) -Aug,Net Tonnages -Aug,Net Tonnages (Direct Entrance) -Aug,Number Of Vessels -Sep,Number Of Vessel (Direct Entrance) -Sep,Net Tonnages -Sep,Net Tonnages (Direct Entrance) -Sep,Number Of Vessels -Oct,Number Of Vessel (Direct Entrance) -Oct,Net Tonnages -Oct,Net Tonnages (Direct Entrance) -Oct,Number Of Vessels -Nov,Number Of Vessel (Direct Entrance) -Nov,Net Tonnages -Nov,Net Tonnages (Direct Entrance) -Nov,Number Of Vessels -Dec,Number Of Vessel (Direct Entrance) -Dec,Net Tonnages -Dec,Net Tonnages (Direct Entrance) -Dec
2014,100,4997,2830,76279028,45657515,362,242,6315847,3982910,337,210,6095019,3564690,385,243,6068262,3792578,385,222,6167696,3893683,478,228,4995552,3158863,457,240,6521156,3953689,442,254,7540979,4150432,375,228,5862719,3542405,390,238,7212432,4119221,457,241,6083565,3702460,514,246,6960060,3849423,415,238,6455741,3947161
2014,103,18795,9540,35585728,16586380,1569,841,2893704,1428183,1420,708,2673564,1226291,1628,820,3028155,1450893,1617,800,2940449,1337703,1598,822,3016038,1403958,1587,800,2997499,1405113,1595,788,3069106,1382647,1532,788,2951230,1394199,1595,830,3096182,1482544,1548,779,3031042,1376133,1578,787,2976218,1340517,1528,777,2912541,1358199
2014,105,2441,1207,9860175,5104106,224,116,844890,469638,144,77,474882,271351,249,136,1038232,503329,207,113,877741,464715,191,101,767762,431561,160,81,608787,310366,177,76,649214,344464,191,86,984702,492668,209,96,856961,455309,212,96,862811,425873,248,121,946862,509041,229,108,947331,425791
2014,106,492,107,3178792,683273,43,10,291917,71496,47,10,314075,67384,40,9,270210,63881,47,11,315407,74999,29,6,188993,38256,37,7,235455,44539,39,8,241761,44828,37,7,235625,44539,37,8,235649,51016,44,9,278110,55391,37,8,234291,50628,55,14,337299,76316
2014,107,79,69,89193,70550,4,3,10783,3045,6,6,5903,5903,6,5,5668,5056,9,8,9165,8101,7,7,6563,6563,8,7,8792,7254,6,5,6781,5243,6,6,5903,5903,6,6,5712,5712,9,7,9635,6559,5,5,5241,5241,7,4,9047,5970
2014,108,8039,3049,75318222,28570490,670,268,6169946,2430250,607,224,5955356,2252162,713,282,6782896,2682399,674,251,6205591,2265395,696,260,6832161,2672812,665,251,5639030,2076357,690,261,6828833,2552626,676,262,6264762,2559715,648,248,5990231,2409126,641,232,6426571,2260547,656,249,6018849,2165741,703,261,6203996,2243360
2014,110,121,51,878001,380115,11,5,70306,33016,10,4,106071,45320,7,3,51935,20177,11,5,60225,20724,10,6,78829,47071,9,4,74837,37784,14,8,119170,61715,6,1,45874,8821,10,5,67351,33145,15,4,86038,31834,5,2,40579,14116,13,4,76786,26392
2014,111,156,54,579944,263992,9,3,22318,6318,13,3,55291,17240,9,3,25330,8696,15,2,40261,3632,5,5,9015,9015,15,6,39853,16023,14,6,143371,116793,10,3,30628,10425,21,7,60067,19140,6,1,17242,2792,23,8,78213,28282,16,7,58355,25636
2014,112,5414,2081,70048883,30666515,444,176,6283823,2845465,403,154,5968705,2555710,486,184,6441138,3004423,458,162,6120615,2222150,443,168,5683045,2586862,431,172,5700948,2425908,481,182,5491349,2534062,447,168,5394578,2183353,453,172,5577094,2629581,459,180,5655740,2514449,458,181,5637068,2522485,451,182,6094780,2642067
2014,113,762,389,8883021,7358321,79,38,848724,697423,73,40,874257,733536,68,33,758300,629329,71,33,760557,632441,69,29,694692,525833,63,33,689225,580969,49,24,555029,438488,63,36,820852,691127,56,30,711777,612035,52,32,652520,592001,60,29,718395,574992,59,32,798693,650147
2014,116,111,110,2109378,2093566,9,9,168753,168753,9,9,188837,188837,10,10,198300,198300,10,10,180674,180674,8,8,135315,135315,10,10,199529,199529,10,10,184565,184565,9,9,151127,151127,8,8,150279,150279,8,8,135315,135315,10,9,200758,184946,10,10,215926,215926
2014,117,817,286,5228203,2051603,60,22,426968,212283,63,24,334000,134401,64,24,423686,190905,75,21,475560,155485,63,26,444073,183492,90,30,651293,244468,55,20,344877,141461,59,23,359155,161636,73,23,412096,145260,71,26,388910,173020,75,28,470503,181037,69,19,497082,128155
2014,118,273,116,842646,361514,22,9,65648,26856,19,8,56696,23872,25,12,82905,44113,21,8,62664,23872,24,10,69555,27779,21,9,62664,26856,25,9,93566,33178,22,9,65648,26856,22,9,65648,26856,24,10,69648,27872,22,10,70002,34194,26,13,78002,39210
2014,120,6411,3633,5878492,3112031,611,341,543906,268552,464,267,406968,214700,591,346,541580,296662,592,331,540828,282767,519,299,478757,274979,576,330,562783,303956,523,294,493850,270201,527,279,495607,252447,518,304,457113,251580,506,299,446472,235329,528,300,467403,245812,456,243,443225,215046
2014,123,45,25,1099329,600639,6,3,166722,82431,4,2,136582,67286,4,2,118297,51209,6,2,127316,45158,5,3,73944,45049,6,2,131745,42905,4,2,104042,52021,4,3,96510,70409,1,1,26658,26658,1,1,18207,18207,1,1,32440,32440,3,3,66866,66866
2014,125,3,2,7944,5296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2648,2648,0,0,0,0,0,0,0,0,2,1,5296,2648,0,0,0,0,0,0,0,0
2014,127,28,21,383484,291693,3,3,43482,43482,3,2,44302,29430,4,2,55119,29047,2,1,25472,12736,1,1,16011,16011,2,1,25278,12639,2,2,22244,22244,1,1,13673,13673,3,3,41675,41675,2,2,31611,31611,1,1,13673,13673,4,2,50944,25472
2014,135,1,1,48822,48822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,48822,48822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,138,22,12,362833,192916,2,1,34768,17384,3,1,52152,17384,1,1,17384,17384,4,1,69536,17384,0,0,0,0,0,0,0,0,5,3,79074,48229,0,0,0,0,1,1,17384,17384,2,2,26922,26922,2,1,34768,17384,2,1,30845,13461
2014,140,2,2,65526,65526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,32763,32763,0,0,0,0,1,1,32763,32763,0,0,0,0,0,0,0,0,0,0,0,0
2014,146,4,4,54332,54332,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13583,13583,2,2,27166,27166,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13583,13583,0,0,0,0,0,0,0,0,0,0,0,0
2014,201,1,1,32118,32118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,32118,32118,0,0,0,0,0,0,0,0
2014,202,606,229,11332895,4301075,44,22,761681,384024,61,23,1147663,448617,55,15,1079886,295783,46,19,830370,340321,54,19,1002488,355496,55,22,1048170,430329,50,18,909358,313930,51,16,1000114,302891,39,16,700926,284604,51,19,1006680,387019,46,18,844240,351433,54,22,1001319,406628
2014,203,185,60,4725789,1541271,24,6,614352,157989,26,6,726457,168095,15,3,384246,70107,17,4,441703,103286,13,4,307070,93648,16,7,398129,186295,7,4,165441,103405,11,4,256967,101057,19,7,498741,186742,12,3,307114,74813,7,4,173760,103653,18,8,451809,192181
2014,204,213,111,9334840,4418946,22,12,891363,413050,16,9,777910,435944,21,12,835370,396651,17,8,748999,343803,14,7,681837,297290,18,9,829700,358991,13,6,650951,292486,15,7,759018,320846,19,10,746642,372518,24,12,1010346,464441,17,7,740943,285791,17,12,661761,437135
2014,205,649,281,14058638,7250066,53,22,990772,472066,49,21,987412,518962,72,30,1306981,614060,68,27,1293420,659573,44,17,719498,392708,68,31,1487396,797755,66,26,1639398,769398,45,20,1047045,525144,48,23,1310810,671216,59,24,1377067,748619,39,20,819911,408210,38,20,1078928,672355
2014,207,151,117,535806,336049,14,11,45681,31860,11,8,32131,18925,13,10,35925,22960,18,12,65082,32109,15,12,75053,51159,16,12,49777,32948,4,4,7299,7299,12,12,32166,32166,11,8,40260,27228,9,9,21703,21703,21,12,114008,40971,7,7,16721,16721
2014,208,11,11,269079,269079,2,2,58267,58267,0,0,0,0,0,0,0,0,0,0,0,0,1,1,28136,28136,2,2,35066,35066,1,1,28136,28136,1,1,28136,28136,2,2,35066,35066,1,1,28136,28136,1,1,28136,28136,0,0,0,0
2014,209,31,17,535650,328884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,59076,29538,4,2,59076,29538,5,3,114745,85207,4,2,59076,29538,6,4,84625,55087,5,2,73845,29538,2,1,29538,14769,1,1,55669,55669
2014,210,18,17,856099,852672,3,3,127164,127164,1,1,48921,48921,2,2,110536,110536,3,3,123907,123907,1,1,48921,48921,1,1,48921,48921,2,2,123230,123230,0,0,0,0,1,1,48921,48921,1,0,3427,0,2,2,123230,123230,1,1,48921,48921
