(UNIT:NO, MT)
Year,Country,Number Of Vessels -Year,Number Of Vessel (Direct Entrance) -Year,Net Tonnages-Year,Net Tonnages (Direct Entrance) -Year,Number Of Vessels -Jan,Number Of Vessel (Direct Entrance) -Jan,Net Tonnages-Jan,Net Tonnages (Direct Entrance) -Jan,Number Of Vessels -Feb,Number Of Vessel (Direct Entrance) -Feb,Net Tonnages-Feb,Net Tonnages (Direct Entrance) -Feb,Number Of Vessels -Mar,Number Of Vessel (Direct Entrance) -Mar,Net Tonnages -Mar,Net Tonnages (Direct Entrance) -Mar,Number Of Vessels -Apr,Number Of Vessel (Direct Entrance) -Apr,Net Tonnages -Apr,Net Tonnages (Direct Entrance) -Apr,Number Of Vessels -May,Number Of Vessel (Direct Entrance) -May,Net Tonnages -May,Net Tonnages (Direct Entrance) -May,Number Of Vessels -Jun,Number Of Vessel (Direct Entrance) -Jun,Net Tonnages -Jun,Net Tonnages (Direct Entrance) -Jun,Number Of Vessels -Jul,Number Of Vessel (Direct Entrance) -Jul,Net Tonnages -Jul,Net Tonnages (Direct Entrance) -Jul,Number Of Vessels -Aug,Number Of Vessel (Direct Entrance) -Aug,Net Tonnages -Aug,Net Tonnages (Direct Entrance) -Aug,Number Of Vessels -Sep,Number Of Vessel (Direct Entrance) -Sep,Net Tonnages -Sep,Net Tonnages (Direct Entrance) -Sep,Number Of Vessels -Oct,Number Of Vessel (Direct Entrance) -Oct,Net Tonnages -Oct,Net Tonnages (Direct Entrance) -Oct,Number Of Vessels -Nov,Number Of Vessel (Direct Entrance) -Nov,Net Tonnages -Nov,Net Tonnages (Direct Entrance) -Nov,Number Of Vessels -Dec,Number Of Vessel (Direct Entrance) -Dec,Net Tonnages -Dec,Net Tonnages (Direct Entrance) -Dec
2018,100,5424,2878,109385860,63112913,439,250,9799945,6034510,402,226,7829356,4593875,439,244,10668478,6171001,447,241,7928673,4816685,496,248,10221812,5661119,470,243,8537864,4989468,395,229,9341423,5326697,431,234,9291376,5362278,419,225,8320647,4542515,505,245,10239469,5536096,510,241,8122734,4744116,471,252,9084083,5334553
2018,103,16774,8363,39648911,17427709,1341,715,3107216,1470857,1372,677,3136602,1389140,1381,668,3024235,1298199,1419,729,3339728,1575530,1460,729,3319329,1465668,1463,727,3685737,1569596,1319,657,3220662,1426798,1387,686,3399176,1446680,1341,644,3253369,1344281,1475,733,3460904,1522724,1425,716,3431158,1472800,1391,682,3270795,1445436
2018,105,1615,825,8240872,4491756,143,71,707560,378115,137,63,918362,456521,145,75,756002,477812,151,81,666495,377717,138,66,572362,258479,147,74,655778,368631,125,66,632353,360933,114,62,619235,358741,126,61,707756,428209,134,67,637758,273145,136,72,619356,337126,119,67,747855,416327
2018,106,267,82,3251217,1488446,18,5,226869,123332,18,5,228455,101434,25,7,309357,143321,22,6,229990,89120,19,5,213110,87470,23,7,299095,148289,25,10,300597,174206,26,7,289359,106720,21,6,242761,99724,35,12,453016,203691,13,5,173663,93191,22,7,284945,117948
2018,107,12,7,21588,12593,2,1,3598,1799,0,0,0,0,1,1,1799,1799,2,1,3598,1799,0,0,0,0,4,1,7196,1799,1,1,1799,1799,0,0,0,0,0,0,0,0,1,1,1799,1799,1,1,1799,1799,0,0,0,0
2018,108,9843,3736,86222373,34456347,845,333,7179660,3051841,752,275,6864098,2457627,875,320,7465672,2792604,806,313,7174950,2981681,890,321,8019961,2803200,805,298,7026519,2757118,821,330,6836899,2942451,809,303,8069527,3320708,739,282,6348676,2537696,846,340,7028631,2955037,837,319,7314346,3228142,818,302,6893434,2628242
2018,110,206,89,787548,351670,8,4,33561,17607,8,2,20153,4691,15,7,65471,27926,12,6,41867,20365,21,10,68195,35264,19,6,92334,27067,16,8,112079,60962,20,11,54114,28472,26,11,68948,28263,21,8,82408,34214,24,10,97244,47200,16,6,51174,19639
2018,111,243,99,1369250,556517,31,10,220762,71021,17,7,120950,41719,18,6,131227,29069,17,8,129881,55850,26,9,109623,41257,21,9,100090,35386,15,6,58362,19554,23,12,154433,107796,19,8,93107,45492,21,9,84187,31543,16,8,87471,50351,19,7,79157,27479
2018,112,5382,2045,73648519,31210952,422,174,6137321,2712258,406,155,5335569,2316250,498,187,6861798,2787467,492,174,6516027,2710182,502,191,7152966,2929492,439,164,5173165,2203223,427,161,5277549,2249134,442,168,6560545,2811233,398,167,5612796,2619174,438,164,6058606,2441176,472,183,6224034,2887383,446,157,6738143,2543980
2018,113,511,291,6606801,5573552,41,31,756089,716167,52,29,706368,616957,48,29,681381,607691,41,23,420166,354690,42,23,500824,428215,39,23,406974,348046,40,22,535990,435315,40,21,474446,357700,36,20,497618,400382,45,21,448832,348802,43,23,540467,432684,44,26,637646,526903
2018,116,79,77,2197971,2168805,9,9,237855,237855,9,9,215109,215109,8,8,208938,208938,8,8,185562,185562,8,6,185562,156396,5,5,152256,152256,4,4,127230,127230,7,7,220392,220392,4,4,127230,127230,6,6,190215,190215,5,5,156777,156777,6,6,190845,190845
