time	country	variable	value
2010-01-01	100	Number Of Vessels	266
2010-01-01	100	Number Of Vessel (Direct Entrance)	185
2010-01-01	100	Net Tonnages	4057409
2010-01-01	100	Net Tonnages (Direct Entrance)	2695172
2010-02-01	100	Number Of Vessels	239
2010-02-01	100	Number Of Vessel (Direct Entrance)	155
2010-02-01	100	Net Tonnages	2953115
2010-02-01	100	Net Tonnages (Direct Entrance)	1999163
2010-03-01	100	Number Of Vessels	359
2010-03-01	100	Number Of Vessel (Direct Entrance)	202
2010-03-01	100	Net Tonnages	4591405
2010-03-01	100	Net Tonnages (Direct Entrance)	2847732
2010-04-01	100	Number Of Vessels	453
2010-04-01	100	Number Of Vessel (Direct Entrance)	205
2010-04-01	100	Net Tonnages	3808923
2010-04-01	100	Net Tonnages (Direct Entrance)	2504244
2010-05-01	100	Number Of Vessels	400
2010-05-01	100	Number Of Vessel (Direct Entrance)	199
2010-05-01	100	Net Tonnages	4112854
2010-05-01	100	Net Tonnages (Direct Entrance)	2674538
2010-06-01	100	Number Of Vessels	321
2010-06-01	100	Number Of Vessel (Direct Entrance)	178
2010-06-01	100	Net Tonnages	4115319
2010-06-01	100	Net Tonnages (Direct Entrance)	2281516
2010-07-01	100	Number Of Vessels	327
2010-07-01	100	Number Of Vessel (Direct Entrance)	207
2010-07-01	100	Net Tonnages	4075407
2010-07-01	100	Net Tonnages (Direct Entrance)	2848416
2010-08-01	100	Number Of Vessels	334
2010-08-01	100	Number Of Vessel (Direct Entrance)	201
2010-08-01	100	Net Tonnages	4626490
2010-08-01	100	Net Tonnages (Direct Entrance)	2930874
2010-09-01	100	Number Of Vessels	296
2010-09-01	100	Number Of Vessel (Direct Entrance)	199
2010-09-01	100	Net Tonnages	3709059
2010-09-01	100	Net Tonnages (Direct Entrance)	2508484
2010-10-01	100	Number Of Vessels	332
2010-10-01	100	Number Of Vessel (Direct Entrance)	200
2010-10-01	100	Net Tonnages	3988789
2010-10-01	100	Net Tonnages (Direct Entrance)	2760882
2010-11-01	100	Number Of Vessels	456
2010-11-01	100	Number Of Vessel (Direct Entrance)	233
2010-11-01	100	Net Tonnages	4587402
2010-11-01	100	Net Tonnages (Direct Entrance)	2841231
2010-12-01	100	Number Of Vessels	340
2010-12-01	100	Number Of Vessel (Direct Entrance)	206
2010-12-01	100	Net Tonnages	4937756
2010-12-01	100	Net Tonnages (Direct Entrance)	3427600
2010-01-01	Republic of Korea	Number Of Vessels	1487
2010-01-01	Republic of Korea	Number Of Vessel (Direct Entrance)	819
2010-01-01	Republic of Korea	Net Tonnages	2528596
2010-01-01	Republic of Korea	Net Tonnages (Direct Entrance)	1312151
2010-02-01	Republic of Korea	Number Of Vessels	1458
2010-02-01	Republic of Korea	Number Of Vessel (Direct Entrance)	776
2010-02-01	Republic of Korea	Net Tonnages	2733495
2010-02-01	Republic of Korea	Net Tonnages (Direct Entrance)	1382419
2010-03-01	Republic of Korea	Number Of Vessels	1587
2010-03-01	Republic of Korea	Number Of Vessel (Direct Entrance)	834
2010-03-01	Republic of Korea	Net Tonnages	2903998
2010-03-01	Republic of Korea	Net Tonnages (Direct Entrance)	1408919
2010-04-01	Republic of Korea	Number Of Vessels	1539
2010-04-01	Republic of Korea	Number Of Vessel (Direct Entrance)	798
2010-04-01	Republic of Korea	Net Tonnages	2870807
2010-04-01	Republic of Korea	Net Tonnages (Direct Entrance)	1404992
2010-05-01	Republic of Korea	Number Of Vessels	1524
2010-05-01	Republic of Korea	Number Of Vessel (Direct Entrance)	856
2010-05-01	Republic of Korea	Net Tonnages	2802789
2010-05-01	Republic of Korea	Net Tonnages (Direct Entrance)	1437051
2010-06-01	Republic of Korea	Number Of Vessels	1541
2010-06-01	Republic of Korea	Number Of Vessel (Direct Entrance)	832
2010-06-01	Republic of Korea	Net Tonnages	2870947
2010-06-01	Republic of Korea	Net Tonnages (Direct Entrance)	1435928
2010-07-01	Republic of Korea	Number Of Vessels	1538
2010-07-01	Republic of Korea	Number Of Vessel (Direct Entrance)	850
2010-07-01	Republic of Korea	Net Tonnages	2963547
2010-07-01	Republic of Korea	Net Tonnages (Direct Entrance)	1533195
2010-08-01	Republic of Korea	Number Of Vessels	1544
2010-08-01	Republic of Korea	Number Of Vessel (Direct Entrance)	879
2010-08-01	Republic of Korea	Net Tonnages	3020760
2010-08-01	Republic of Korea	Net Tonnages (Direct Entrance)	1575924
2010-09-01	Republic of Korea	Number Of Vessels	1469
2010-09-01	Republic of Korea	Number Of Vessel (Direct Entrance)	835
2010-09-01	Republic of Korea	Net Tonnages	2792928
2010-09-01	Republic of Korea	Net Tonnages (Direct Entrance)	1477967
2010-10-01	Republic of Korea	Number Of Vessels	1510
2010-10-01	Republic of Korea	Number Of Vessel (Direct Entrance)	849
2010-10-01	Republic of Korea	Net Tonnages	2823294
2010-10-01	Republic of Korea	Net Tonnages (Direct Entrance)	1521707
2010-11-01	Republic of Korea	Number Of Vessels	1579
2010-11-01	Republic of Korea	Number Of Vessel (Direct Entrance)	898
2010-11-01	Republic of Korea	Net Tonnages	2994172
2010-11-01	Republic of Korea	Net Tonnages (Direct Entrance)	1590554
2010-12-01	Republic of Korea	Number Of Vessels	1557
2010-12-01	Republic of Korea	Number Of Vessel (Direct Entrance)	849
2010-12-01	Republic of Korea	Net Tonnages	3014255
2010-12-01	Republic of Korea	Net Tonnages (Direct Entrance)	1582185
2010-01-01	People's Republic of China	Number Of Vessels	244
2010-01-01	People's Republic of China	Number Of Vessel (Direct Entrance)	139
2010-01-01	People's Republic of China	Net Tonnages	860180
2010-01-01	People's Republic of China	Net Tonnages (Direct Entrance)	458536
2010-02-01	People's Republic of China	Number Of Vessels	176
2010-02-01	People's Republic of China	Number Of Vessel (Direct Entrance)	100
2010-02-01	People's Republic of China	Net Tonnages	736101
2010-02-01	People's Republic of China	Net Tonnages (Direct Entrance)	395467
2010-03-01	People's Republic of China	Number Of Vessels	287
2010-03-01	People's Republic of China	Number Of Vessel (Direct Entrance)	197
2010-03-01	People's Republic of China	Net Tonnages	895583
2010-03-01	People's Republic of China	Net Tonnages (Direct Entrance)	501451
2010-04-01	People's Republic of China	Number Of Vessels	336
2010-04-01	People's Republic of China	Number Of Vessel (Direct Entrance)	220
2010-04-01	People's Republic of China	Net Tonnages	1048370
2010-04-01	People's Republic of China	Net Tonnages (Direct Entrance)	619702
2010-05-01	People's Republic of China	Number Of Vessels	272
2010-05-01	People's Republic of China	Number Of Vessel (Direct Entrance)	166
2010-05-01	People's Republic of China	Net Tonnages	1019044
2010-05-01	People's Republic of China	Net Tonnages (Direct Entrance)	582932
2010-06-01	People's Republic of China	Number Of Vessels	215
2010-06-01	People's Republic of China	Number Of Vessel (Direct Entrance)	112
2010-06-01	People's Republic of China	Net Tonnages	858098
2010-06-01	People's Republic of China	Net Tonnages (Direct Entrance)	480495
2010-07-01	People's Republic of China	Number Of Vessels	229
2010-07-01	People's Republic of China	Number Of Vessel (Direct Entrance)	123
2010-07-01	People's Republic of China	Net Tonnages	1006556
2010-07-01	People's Republic of China	Net Tonnages (Direct Entrance)	637693
2010-08-01	People's Republic of China	Number Of Vessels	211
2010-08-01	People's Republic of China	Number Of Vessel (Direct Entrance)	116
2010-08-01	People's Republic of China	Net Tonnages	1248573
2010-08-01	People's Republic of China	Net Tonnages (Direct Entrance)	759306
2010-09-01	People's Republic of China	Number Of Vessels	227
2010-09-01	People's Republic of China	Number Of Vessel (Direct Entrance)	131
2010-09-01	People's Republic of China	Net Tonnages	1183992
2010-09-01	People's Republic of China	Net Tonnages (Direct Entrance)	791710
2010-10-01	People's Republic of China	Number Of Vessels	221
2010-10-01	People's Republic of China	Number Of Vessel (Direct Entrance)	122
2010-10-01	People's Republic of China	Net Tonnages	819602
2010-10-01	People's Republic of China	Net Tonnages (Direct Entrance)	477536
2010-11-01	People's Republic of China	Number Of Vessels	307
2010-11-01	People's Republic of China	Number Of Vessel (Direct Entrance)	204
2010-11-01	People's Republic of China	Net Tonnages	1150520
2010-11-01	People's Republic of China	Net Tonnages (Direct Entrance)	792655
2010-12-01	People's Republic of China	Number Of Vessels	261
2010-12-01	People's Republic of China	Number Of Vessel (Direct Entrance)	157
2010-12-01	People's Republic of China	Net Tonnages	854169
2010-12-01	People's Republic of China	Net Tonnages (Direct Entrance)	482171
2010-01-01	Taiwan	Number Of Vessels	33
2010-01-01	Taiwan	Number Of Vessel (Direct Entrance)	11
2010-01-01	Taiwan	Net Tonnages	186176
2010-01-01	Taiwan	Net Tonnages (Direct Entrance)	45012
2010-02-01	Taiwan	Number Of Vessels	33
2010-02-01	Taiwan	Number Of Vessel (Direct Entrance)	14
2010-02-01	Taiwan	Net Tonnages	223664
2010-02-01	Taiwan	Net Tonnages (Direct Entrance)	108199
2010-03-01	Taiwan	Number Of Vessels	34
2010-03-01	Taiwan	Number Of Vessel (Direct Entrance)	12
2010-03-01	Taiwan	Net Tonnages	204478
2010-03-01	Taiwan	Net Tonnages (Direct Entrance)	69582
2010-04-01	Taiwan	Number Of Vessels	37
2010-04-01	Taiwan	Number Of Vessel (Direct Entrance)	13
2010-04-01	Taiwan	Net Tonnages	220040
2010-04-01	Taiwan	Net Tonnages (Direct Entrance)	59258
2010-05-01	Taiwan	Number Of Vessels	27
2010-05-01	Taiwan	Number Of Vessel (Direct Entrance)	7
2010-05-01	Taiwan	Net Tonnages	166278
2010-05-01	Taiwan	Net Tonnages (Direct Entrance)	38258
2010-06-01	Taiwan	Number Of Vessels	33
2010-06-01	Taiwan	Number Of Vessel (Direct Entrance)	14
2010-06-01	Taiwan	Net Tonnages	184844
2010-06-01	Taiwan	Net Tonnages (Direct Entrance)	68608
2010-07-01	Taiwan	Number Of Vessels	29
2010-07-01	Taiwan	Number Of Vessel (Direct Entrance)	10
2010-07-01	Taiwan	Net Tonnages	160569
2010-07-01	Taiwan	Net Tonnages (Direct Entrance)	48242
2010-08-01	Taiwan	Number Of Vessels	40
2010-08-01	Taiwan	Number Of Vessel (Direct Entrance)	13
2010-08-01	Taiwan	Net Tonnages	230838
2010-08-01	Taiwan	Net Tonnages (Direct Entrance)	67043
2010-09-01	Taiwan	Number Of Vessels	27
2010-09-01	Taiwan	Number Of Vessel (Direct Entrance)	9
2010-09-01	Taiwan	Net Tonnages	155384
2010-09-01	Taiwan	Net Tonnages (Direct Entrance)	41272
2010-10-01	Taiwan	Number Of Vessels	23
2010-10-01	Taiwan	Number Of Vessel (Direct Entrance)	8
2010-10-01	Taiwan	Net Tonnages	132618
2010-10-01	Taiwan	Net Tonnages (Direct Entrance)	41067
2010-11-01	Taiwan	Number Of Vessels	27
2010-11-01	Taiwan	Number Of Vessel (Direct Entrance)	10
2010-11-01	Taiwan	Net Tonnages	171458
2010-11-01	Taiwan	Net Tonnages (Direct Entrance)	71470
2010-12-01	Taiwan	Number Of Vessels	21
2010-12-01	Taiwan	Number Of Vessel (Direct Entrance)	7
2010-12-01	Taiwan	Net Tonnages	117853
2010-12-01	Taiwan	Net Tonnages (Direct Entrance)	34590
2010-01-01	Mongolia	Number Of Vessels	14
2010-01-01	Mongolia	Number Of Vessel (Direct Entrance)	10
2010-01-01	Mongolia	Net Tonnages	10150
2010-01-01	Mongolia	Net Tonnages (Direct Entrance)	7601
2010-02-01	Mongolia	Number Of Vessels	24
2010-02-01	Mongolia	Number Of Vessel (Direct Entrance)	15
2010-02-01	Mongolia	Net Tonnages	24909
2010-02-01	Mongolia	Net Tonnages (Direct Entrance)	14372
2010-03-01	Mongolia	Number Of Vessels	18
2010-03-01	Mongolia	Number Of Vessel (Direct Entrance)	15
2010-03-01	Mongolia	Net Tonnages	12669
2010-03-01	Mongolia	Net Tonnages (Direct Entrance)	10705
2010-04-01	Mongolia	Number Of Vessels	19
2010-04-01	Mongolia	Number Of Vessel (Direct Entrance)	14
2010-04-01	Mongolia	Net Tonnages	14988
2010-04-01	Mongolia	Net Tonnages (Direct Entrance)	10885
2010-05-01	Mongolia	Number Of Vessels	22
2010-05-01	Mongolia	Number Of Vessel (Direct Entrance)	13
2010-05-01	Mongolia	Net Tonnages	19397
2010-05-01	Mongolia	Net Tonnages (Direct Entrance)	9930
2010-06-01	Mongolia	Number Of Vessels	22
2010-06-01	Mongolia	Number Of Vessel (Direct Entrance)	16
2010-06-01	Mongolia	Net Tonnages	46472
2010-06-01	Mongolia	Net Tonnages (Direct Entrance)	42343
2010-07-01	Mongolia	Number Of Vessels	13
2010-07-01	Mongolia	Number Of Vessel (Direct Entrance)	9
2010-07-01	Mongolia	Net Tonnages	10796
2010-07-01	Mongolia	Net Tonnages (Direct Entrance)	7330
2010-08-01	Mongolia	Number Of Vessels	14
2010-08-01	Mongolia	Number Of Vessel (Direct Entrance)	11
2010-08-01	Mongolia	Net Tonnages	14799
2010-08-01	Mongolia	Net Tonnages (Direct Entrance)	10728
2010-09-01	Mongolia	Number Of Vessels	13
2010-09-01	Mongolia	Number Of Vessel (Direct Entrance)	13
2010-09-01	Mongolia	Net Tonnages	12091
2010-09-01	Mongolia	Net Tonnages (Direct Entrance)	12091
2010-10-01	Mongolia	Number Of Vessels	13
2010-10-01	Mongolia	Number Of Vessel (Direct Entrance)	10
2010-10-01	Mongolia	Net Tonnages	12774
2010-10-01	Mongolia	Net Tonnages (Direct Entrance)	10014
2010-11-01	Mongolia	Number Of Vessels	21
2010-11-01	Mongolia	Number Of Vessel (Direct Entrance)	15
2010-11-01	Mongolia	Net Tonnages	32505
2010-11-01	Mongolia	Net Tonnages (Direct Entrance)	25887
2010-12-01	Mongolia	Number Of Vessels	16
2010-12-01	Mongolia	Number Of Vessel (Direct Entrance)	9
2010-12-01	Mongolia	Net Tonnages	13458
2010-12-01	Mongolia	Net Tonnages (Direct Entrance)	7767
2010-01-01	Hong Kong	Number Of Vessels	507
2010-01-01	Hong Kong	Number Of Vessel (Direct Entrance)	216
2010-01-01	Hong Kong	Net Tonnages	4997854
2010-01-01	Hong Kong	Net Tonnages (Direct Entrance)	2137312
2010-02-01	Hong Kong	Number Of Vessels	492
2010-02-01	Hong Kong	Number Of Vessel (Direct Entrance)	203
2010-02-01	Hong Kong	Net Tonnages	5108759
2010-02-01	Hong Kong	Net Tonnages (Direct Entrance)	2155859
2010-03-01	Hong Kong	Number Of Vessels	564
2010-03-01	Hong Kong	Number Of Vessel (Direct Entrance)	246
2010-03-01	Hong Kong	Net Tonnages	5159268
